0.0869	0.1184
0.0872	0.1184
0.0875	0.1184
0.0877	0.1184
0.0877	0.1181
0.0880	0.1181
0.0883	0.1181
0.0885	0.1181
0.0888	0.1181
0.0888	0.1179
0.0891	0.1179
0.0893	0.1179
0.0893	0.1176
0.0896	0.1176
0.0896	0.1173
0.0899	0.1173
0.0899	0.1171
0.0902	0.1171
0.0902	0.1168
0.0904	0.1165
0.0904	0.1163
0.0907	0.1163
0.0910	0.1163
0.0910	0.1160
0.0912	0.1160
0.0912	0.1157
0.0915	0.1157
0.0915	0.1154
0.0918	0.1154
0.0918	0.1152
0.0920	0.1152
0.0920	0.1149
0.0923	0.1149
0.0923	0.1146
0.0926	0.1146
0.0926	0.1144
0.0928	0.1144
0.0928	0.1141
0.0931	0.1141
0.0931	0.1138
0.0931	0.1136
0.0934	0.1136
0.0934	0.1133
0.0934	0.1130
0.0936	0.1130
0.0936	0.1128
0.0936	0.1125
0.0936	0.1122
0.0939	0.1122
0.0939	0.1119
0.0942	0.1117
0.0942	0.1114
0.0945	0.1114
0.0945	0.1111
0.0945	0.1109
0.0947	0.1109
0.0947	0.1106
0.0947	0.1103
0.0950	0.1101
0.0950	0.1098
0.0950	0.1095
0.0953	0.1095
0.0953	0.1093
0.0953	0.1090
0.0955	0.1090
0.0955	0.1087
0.0955	0.1084
0.0955	0.1082
0.0958	0.1082
0.0958	0.1079
0.0958	0.1076
0.0958	0.1074
0.0958	0.1071
0.0958	0.1068
0.0961	0.1068
0.0961	0.1066
0.0961	0.1063
0.0961	0.1060
0.0958	0.1058
0.0958	0.1055
0.0958	0.1052
0.0958	0.1050
0.0955	0.1050
0.0955	0.1047
0.0955	0.1044
0.0955	0.1041
0.0955	0.1039
0.0955	0.1036
0.0955	0.1033
0.0953	0.1033
0.0953	0.1031
0.0953	0.1028
0.0953	0.1025
0.0950	0.1025
0.0950	0.1023
0.0950	0.1020
0.0950	0.1017
0.0950	0.1015
0.0950	0.1012
0.0947	0.1012
0.0947	0.1009
0.0947	0.1006
0.0947	0.1004
0.0947	0.1001
0.0947	0.0998
0.0947	0.0996
0.0947	0.0993
0.0945	0.0993
0.0945	0.0990
0.0945	0.0988
0.0945	0.0985
0.0945	0.0982
0.0945	0.0980
0.0945	0.0977
0.0942	0.0977
0.0942	0.0974
0.0942	0.0971
0.0942	0.0969
0.0939	0.0969
0.0939	0.0966
0.0939	0.0963
0.0936	0.0963
0.0936	0.0961
0.0936	0.0958
0.0936	0.0955
0.0934	0.0955
0.0934	0.0953
0.0931	0.0953
0.0931	0.0950
0.0928	0.0950
0.0928	0.0947
0.0928	0.0945
0.0926	0.0945
0.0926	0.0942
0.0926	0.0939
0.0923	0.0939
0.0923	0.0936
0.0923	0.0934
0.0920	0.0931
0.0920	0.0928
0.0918	0.0928
0.0918	0.0926
0.0915	0.0926
0.0915	0.0923
0.0915	0.0920
0.0912	0.0920
0.0912	0.0918
